point_index,point_status,generation_status,witness_rank,w_m1_um,i_m5_target_a,i_half_target_a,vbias_v,vtail_v,vx_v,vy_v,vout_v,w_m3_um,w_m5_um,w_m6_um,w_m7_um,id_m1_a,id_m2_a,id_m3_a,id_m4_a,id_m5_a,id_m6_a,id_m7_a,tail_kcl_rel,x_kcl_rel,y_kcl_rel,mirror_balance_rel,output_kcl_rel,i5_target_rel,max_abs_residual,rms_residual,m1_sat_headroom_v,m2_sat_headroom_v,m3_sat_headroom_v,m4_sat_headroom_v,m5_sat_headroom_v,m6_sat_headroom_v,m7_sat_headroom_v,all_saturated_50mv,stage1_feasible,stage2_feasible,stage3_feasible,stage4_feasible,stage5_feasible,complete_candidates,point_elapsed_s
1548,PASS,WITNESS,3,47.95833333333333,5.89396e-05,2.94698e-05,0.640625,0.24125000000000002,0.7200000000000001,0.7200000000000001,1.3410602019609281,27.037811038194604,51.99789518643481,9.346467991343602,8.987352235924643,2.9073501169810053e-05,2.9073501169810053e-05,2.9157636158478077e-05,2.9157636158478077e-05,5.8961552684949917e-05,9.979797215792469e-06,9.979789041926996e-06,0.013814940554266077,0.002854956215109177,0.002854956215109177,0.0,1.3868206558493763e-07,0.00037232202936065883,0.013814940554266077,0.005877822105324762,0.4157503119415657,0.4157503119415657,0.9521471786150613,0.9521471786150613,0.16638451914693075,0.32988729182263854,1.269157193576805,True,444,25350,347,64,227873,192,2.355610226979479
1548,PASS,WITNESS,4,47.95833333333333,5.89396e-05,2.94698e-05,0.640625,0.24125000000000002,0.7200000000000001,0.7200000000000001,1.6161733521350636,27.037811038194604,51.99789518643481,5.5773225040602865,5.363027180295652,2.9073501169810053e-05,2.9073501169810053e-05,2.9157636158478077e-05,2.9157636158478077e-05,5.8961552684949917e-05,5.8520782691825035e-06,5.3378428143949355e-06,0.013814940554266077,0.002854956215109177,0.002854956215109177,0.0,0.008724786981716333,0.00037232202936065883,0.013814940554266077,0.0068728289186253885,0.4157503119415657,0.4157503119415657,0.9521471786150613,0.9521471786150613,0.16638451914693075,0.051429043727378304,1.5464180487655335,True,444,25350,347,64,227873,192,2.355610226979479
1548,PASS,WITNESS,5,47.95833333333333,5.89396e-05,2.94698e-05,0.640625,0.24000000000000005,0.6150000000000001,0.6150000000000001,1.0187847974712267,8.683276799798922,51.99789518643481,4.536668561900395,13.583421432721881,2.9325855425934306e-05,2.9325855425934306e-05,2.9892991988696486e-05,2.9892991988696486e-05,5.8928263264631926e-05,1.6021203701777913e-05,1.602259122254845e-05,0.0046921325011251265,0.01897222476012548,0.01897222476012548,0.0,-2.3541401206278158e-05,-0.0001923449661700274,0.01897222476012548,0.011120134013649394,0.3115253803687731,0.3115253803687731,0.9763206752919953,0.9763206752919953,0.1651347762836784,0.5650454919991459,0.9449161764493016,True,444,25350,347,64,227873,192,2.355610226979479
1953,PASS,WITNESS,1,7.125,8.1363e-05,4.06815e-05,0.6271875,0.11923394733519471,0.7575000000000001,0.7575000000000001,1.1524111835361153,63.92554955912125,100.0,11.4904286152576,8.987352235924643,4.0949651402017264e-05,4.0949651402017264e-05,4.0679270825754395e-05,4.0679270825754395e-05,8.089275694545957e-05,7.468166463257594e-06,7.467726514103566e-06,-0.012290041845452359,-0.006602756482795099,-0.006602756482795099,0.0,5.407238597739212e-06,-0.0057795687786884676,0.012290041845452359,0.0067285629893632706,0.5044961208290776,0.5044961208290776,0.938312919127223,0.938312919127223,0.05017046049517146,0.5419329579297903,1.0859476063509408,True,751,781,331,64,203676,192,2.2238399459747598
1953,PASS,WITNESS,2,7.125,8.1363e-05,4.06815e-05,0.6271875,0.11923394733519471,0.7575000000000001,0.7575000000000001,1.6397544772618882,63.92554955912125,100.0,5.577322504060289,4.362357885482179,4.0949651402017264e-05,4.0949651402017264e-05,4.0679270825754395e-05,4.0679270825754395e-05,8.089275694545957e-05,3.5440777570498654e-06,3.193717537248909e-06,-0.012290041845452359,-0.006602756482795099,-0.006602756482795099,0.0,0.0043061369394068105,-0.0057795687786884676,0.012290041845452359,0.0069544247966512865,0.5044961208290776,0.5044961208290776,0.938312919127223,0.938312919127223,0.05017046049517146,0.05140563435094922,1.5753024215138347,True,751,781,331,64,203676,192,2.2238399459747598
1953,PASS,WITNESS,3,7.125,8.1363e-05,4.06815e-05,0.6271875,0.11923394733519471,0.7575000000000001,0.7575000000000001,0.5,63.92554955912125,100.0,14.620864514742372,11.435853594985783,4.0949651402017264e-05,4.0949651402017264e-05,4.0679270825754395e-05,4.0679270825754395e-05,8.089275694545957e-05,9.97091900394216e-06,9.025879298680372e-06,-0.012290041845452359,-0.006602756482795099,-0.006602756482795099,0.0,0.011615103981684412,-0.0057795687786884676,0.012290041845452359,0.008231564965404888,0.5044961208290776,0.5044961208290776,0.938312919127223,0.938312919127223,0.05017046049517146,1.1936615194194202,0.4325241446687012,True,751,781,331,64,203676,192,2.2238399459747598
1953,PASS,WITNESS,4,7.125,8.1363e-05,4.06815e-05,0.6271875,0.11923394733519471,0.5775,0.5775,1.1131093050098433,8.683276799798922,100.0,2.0555608875320455,11.83632017569477,3.997830949267462e-05,3.997830949267462e-05,4.04818098016624e-05,4.04818098016624e-05,8.089275694545957e-05,1.0542278326786182e-05,1.0541608380450248e-05,0.011505696202331876,0.012376640708621352,0.012376640708621352,0.0,8.23404171348143e-06,-0.0057795687786884676,0.012376640708621352,0.00887080415960126,0.32470144452202543,0.32470144452202543,0.9841378811471375,0.9841378811471375,0.05017046049517146,0.4242206533811691,1.0452211803531637,True,751,781,331,64,203676,192,2.2238399459747598
1953,PASS,WITNESS,5,7.125,8.1363e-05,4.06815e-05,0.6271875,0.11923394733519471,0.5775,0.5775,1.4825469631568002,8.683276799798922,100.0,1.6720206602271657,9.627820803005408,3.997830949267462e-05,3.997830949267462e-05,4.04818098016624e-05,4.04818098016624e-05,8.089275694545957e-05,8.55052648944469e-06,8.576691327681615e-06,0.011505696202331876,0.012376640708621352,0.012376640708621352,0.0,-0.00032158153259988995,-0.0057795687786884676,0.012376640708621352,0.008871774958735338,0.32470144452202543,0.32470144452202543,0.9841378811471375,0.9841378811471375,0.05017046049517146,0.05085568516811301,1.4154746246115892,True,751,781,331,64,203676,192,2.2238399459747598
476,PASS,WITNESS,1,3.0416666666666665,1.77821e-05,8.89105e-06,0.681875,0.14799999999999996,0.5066666666666666,0.5066666666666666,0.515720751438522,0.865286168209724,9.627820803005408,0.9313729898270454,5.181576093702661,8.887446403262594e-06,8.887446403262594e-06,8.796888279176241e-06,8.796888279176241e-06,1.777982607930045e-05,9.298531542716771e-06,9.298951940188814e-06,0.00027742914364795496,-0.010185312655575332,-0.010185312655575332,0.0,-2.364160993596743e-05,-0.00012787694926636833,0.010185312655575332,0.005881823217241195,0.25062339005042156,0.25062339005042156,0.9354149077785808,0.9354149077785808,0.056721520107973156,0.9292908913672745,0.4278777767322517,True,772,19431,321,64,124941,191,2.292784953955561
476,PASS,WITNESS,2,3.0416666666666665,1.77821e-05,8.89105e-06,0.681875,0.14799999999999996,0.5066666666666666,0.5066666666666666,1.3803620805572332,0.865286168209724,9.627820803005408,0.6162348097687339,3.4283445980090392,8.887446403262594e-06,8.887446403262594e-06,8.796888279176241e-06,8.796888279176241e-06,1.777982607930045e-05,6.276429633806433e-06,6.274808761568936e-06,0.00027742914364795496,-0.010185312655575332,-0.010185312655575332,0.0,9.115190205299864e-05,-0.00012787694926636833,0.010185312655575332,0.005881933014137343,0.25062339005042156,0.25062339005042156,0.9354149077785808,0.9354149077785808,0.056721520107973156,0.05060000734035658,1.292722174652432,True,772,19431,321,64,124941,191,2.292784953955561
476,PASS,WITNESS,3,3.0416666666666665,1.77821e-05,8.89105e-06,0.5819375,0.14949999999999997,0.6266666666666667,0.6266666666666667,1.3803620805572332,2.515077715685437,57.65408941012277,1.1851149119772388,13.583421432721881,8.816658597754336e-06,8.816658597754336e-06,8.931083386651247e-06,8.931083386651247e-06,1.7784287695966315e-05,5.0334989011304205e-06,5.033230260301674e-06,0.008488982130663876,0.012811971845200215,0.012811971845200215,0.0,1.5107373636789524e-05,0.00012301285290220219,0.012811971845200215,0.008168755751172206,0.36984867886155204,0.36984867886155204,0.9521776700722948,0.9521776700722948,0.09547029991400371,0.17611982199939946,1.3261672393400368,True,772,19431,321,64,124941,191,2.292784953955561
476,PASS,WITNESS,4,3.0416666666666665,1.77821e-05,8.89105e-06,0.5819375,0.14949999999999997,0.6266666666666667,0.6266666666666667,1.5061280920654094,2.515077715685437,57.65408941012277,1.1851149119772388,13.583421432721881,8.816658597754336e-06,8.816658597754336e-06,8.931083386651247e-06,8.931083386651247e-06,1.7784287695966315e-05,4.8694254565731156e-06,5.146621125003098e-06,0.008488982130663876,0.012811971845200215,0.012811971845200215,0.0,-0.015588466403292206,0.00012301285290220219,0.015588466403292206,0.01035512336726516,0.36984867886155204,0.36984867886155204,0.9521776700722948,0.9521776700722948,0.09547029991400371,0.050524367619637106,1.4518615888146358,True,772,19431,321,64,124941,191,2.292784953955561
476,PASS,WITNESS,5,3.0416666666666665,1.77821e-05,8.89105e-06,0.6111875,0.15099999999999997,0.7933333333333333,0.7933333333333333,1.238875317610535,23.560204612887244,31.02872991761893,11.101664828022274,7.310432257371184,8.758799925960059e-06,8.758799925960059e-06,8.911384406638614e-06,8.911384406638614e-06,1.7783155953345885e-05,4.177511194881404e-06,4.177429120273901e-06,0.01493301313458949,0.017122421580746314,0.017122421580746314,0.0,4.615574510504597e-06,5.9379412105196703e-05,0.017122421580746314,0.01161430920656029,0.5358154067385849,0.5358154067385849,0.9199949966316106,0.9199949966316106,0.08826281889122685,0.4739492436003046,1.179121891981508,True,772,19431,321,64,124941,191,2.292784953955561
1455,PASS,WITNESS,1,11.208333333333332,5.53724e-05,2.76862e-05,0.6809375,0.175,0.7875000000000001,0.7875000000000001,0.7279508958585693,68.4810965156903,25.23918303639099,57.92923048920141,10.675109817635912,2.782502762494259e-05,2.782502762494259e-05,2.766904234784925e-05,2.766904234784925e-05,5.536491121648052e-05,2.3585960005898095e-05,2.3585991337513325e-05,-0.005123876914843717,-0.005605934311939953,-0.005605934311939953,0.0,-5.65834517375664e-07,-0.0001352439756896826,0.005605934311939953,0.0038541191149031005,0.5149747932551637,0.5149747932551637,0.9237782625012214,0.9237782625012214,0.08008718887708281,0.9832218678697368,0.6358094600967041,True,627,19739,345,64,167386,192,2.3928617789642885
1455,PASS,WITNESS,2,11.208333333333332,5.53724e-05,2.76862e-05,0.6503125,0.17375,0.5775,0.5775,0.7043697687007863,5.745214307628796,42.295781928615,3.6901867563785617,13.583421432721881,2.746722500723799e-05,2.746722500723799e-05,2.7466687771376907e-05,2.7466687771376907e-05,5.539522444027567e-05,1.828434822194694e-05,1.828297105250775e-05,0.008317944921343804,-1.9404463634714387e-05,-1.9404463634714387e-05,0.0,2.48710447658068e-05,0.0004120290242759228,0.008317944921343804,0.0033999840015957084,0.30555548608094546,0.30555548608094546,0.9797414307563721,0.9797414307563721,0.09434692586101782,0.8436867435456987,0.6263790972669232,True,627,19739,345,64,167386,192,2.3928617789642885
1455,PASS,WITNESS,3,11.208333333333332,5.53724e-05,2.76862e-05,0.6503125,0.17375,0.5775,0.5775,1.4904073406268874,5.745214307628796,42.295781928615,2.2791593923717337,8.389489362677569,2.746722500723799e-05,2.746722500723799e-05,2.7466687771376907e-05,2.7466687771376907e-05,5.539522444027567e-05,1.0677150821011075e-05,1.1166824594487476e-05,0.008317944921343804,-1.9404463634714387e-05,-1.9404463634714387e-05,0.0,-0.00884328245617673,0.0004120290242759228,0.00884328245617673,0.0049592064771408735,0.30555548608094546,0.30555548608094546,0.9797414307563721,0.9797414307563721,0.09434692586101782,0.05035352551877681,1.4147818031074515,True,627,19739,345,64,167386,192,2.3928617789642885
1455,PASS,WITNESS,4,11.208333333333332,5.53724e-05,2.76862e-05,0.6809375,0.175,0.7875000000000001,0.7875000000000001,1.6554752307313687,68.4810965156903,25.23918303639099,15.6627958755505,2.8863160206121603,2.782502762494259e-05,2.782502762494259e-05,2.766904234784925e-05,2.766904234784925e-05,5.536491121648052e-05,5.693032752902647e-06,5.154373062133552e-06,-0.005123876914843717,-0.005605934311939953,-0.005605934311939953,0.0,0.009727945524649383,-0.0001352439756896826,0.009727945524649383,0.005534111321635812,0.5149747932551637,0.5149747932551637,0.9237782625012214,0.9237782625012214,0.08008718887708281,0.05590016551055599,1.5684823204429952,True,627,19739,345,64,167386,192,2.3928617789642885
1455,PASS,WITNESS,5,11.208333333333332,5.53724e-05,2.76862e-05,0.6503125,0.17375,0.6525000000000001,0.6525000000000001,1.325339450522406,11.435853594985783,42.295781928615,4.695535946106047,8.683276799798922,2.786659902398337e-05,2.786659902398337e-05,2.743641860992651e-05,2.743641860992651e-05,5.539522444027567e-05,1.1427790794418586e-05,1.1427419074859329e-05,-0.006064134475114709,-0.015437133669832692,-0.015437133669832692,0.0,6.713083761176197e-06,0.0004120290242759228,0.015437133669832692,0.009251610056229657,0.3804450507927945,0.3804450507927945,0.9691928454905289,0.9691928454905289,0.09434692586101782,0.289440252939499,1.2495091925923916,True,627,19739,345,64,167386,192,2.3928617789642885
1626,PASS,NO_WITNESS,0,3.0416666666666665,6.48065e-05,3.240325e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,766,0,0,0,0,0,0.6052054199390113
456,PASS,WITNESS,1,13.25,1.74013e-05,8.70065e-06,0.8131250000000001,0.23375000000000004,0.6799999999999999,0.6799999999999999,0.8694376588052675,4.362357885482179,2.1174385760647425,1.853898668295673,0.44993059480841036,8.664931748380147e-06,8.664931748380147e-06,8.742689075145854e-06,8.742689075145854e-06,1.7405822340222247e-05,4.352567624162798e-06,4.353006606188583e-06,0.004363990507154847,0.008893982857832595,0.008893982857832595,0.0,-2.5226967283175637e-05,0.00025981767099840714,0.008893982857832595,0.005436273492620643,0.3808881647693602,0.3808881647693602,0.9521726788575497,0.9521726788575497,0.07021569535053662,0.7462805417490267,0.6828677221543384,True,619,28180,366,64,120048,192,2.342609122977592
